,Total sqft,price,bhk,type,housing_type,location_weight
0,984,305.0,3,BHK,Apartment,5.739456745942991
1,598,142.0,2,BHK,Apartment,3.8842194205412137
2,738,154.0,2,BHK,Apartment,4.063829602109092
3,644,68.75,3,BHK,Apartment,1.0116676066245807
4,582,145.0,2,BHK,Apartment,3.359460120516756
5,427,24.58,2,BHK,Apartment,0.7707791341471549
6,1130,480.0,3,BHK,Apartment,8.211593622840372
7,671,272.0,2,BHK,Apartment,9.362284037088921
8,917,95.0,3,BHK,Apartment,1.7708119425031927
9,701,27.3,1,BHK,IndependentHouse,0.7338569808551799
10,387,88.23,1,BHK,Apartment,6.74420594385617
11,417,10.75,1,BHK,Apartment,0.7283536788739912
12,333,74.99,1,BHK,Apartment,7.544479068393417
13,638,143.0,2,BHK,Apartment,6.74420594385617
14,425,91.55,1,BHK,Apartment,3.8842194205412137
15,623,135.0,2,BHK,Apartment,3.414803784231323
16,501,112.00000000000001,2,BHK,Apartment,4.55273163898339
17,771,221.0,2,BHK,Apartment,5.993596157694617
18,938,143.0,3,BHK,Apartment,4.558281067931539
19,287,21.41,1,BHK,Apartment,0.9630876565154779
20,2215,252.99999999999997,3,BHK,Apartment,4.558281067931539
21,778,324.0,3,BHK,Apartment,8.690312226551617
22,821,44.26,3,BHK,Apartment,0.99373349499896
23,565,18.6,1,BHK,Apartment,0.7338569808551799
24,395,17.01,1,BHK,Apartment,0.7283536788739912
25,590,17.7,1,BHK,Apartment,0.7338569808551799
26,230,59.46,1,BHK,Apartment,1.1215718554613257
27,425,156.0,1,BHK,Apartment,13.51477553198586
28,396,65.33,1,BHK,Apartment,3.414803784231323
29,755,32.5,2,BHK,Apartment,0.6359944999257618
30,428,33.49,2,BHK,Apartment,0.8182687390211906
31,485,140.0,1,BHK,Apartment,17.291551401429096
32,261,45.5,1,BHK,Apartment,2.2568874658128215
33,477,38.49,1,BHK,Apartment,1.5422987125608703
34,655,191.0,2,BHK,Apartment,4.68917582433518
35,428,35.5,1,BHK,Apartment,1.484157160963245
36,950,23.75,2,BHK,Apartment,0.5041914037311276
37,527,45.3,1,BHK,Apartment,1.39896883113687
38,500,44.0,1,BHK,Apartment,3.1668167567206993
39,409,30.15,1,BHK,Apartment,3.6308651857781338
40,653,38.49,2,BHK,Apartment,1.1921152691614971
41,320,69.9,1,BHK,Apartment,5.739456745942991
42,928,61.0,3,BHK,Apartment,1.2583704068595
43,410,38.0,1,BHK,Apartment,1.7708119425031927
44,469,90.0,1,BHK,Apartment,4.063829602109092
45,575,27.5,1,BHK,Apartment,0.9630876565154779
46,263,18.49,1,RK,StudioApartment,2.2568874658128215
47,427,25.31,1,BHK,Apartment,0.6359944999257618
48,590,45.0,1,BHK,Apartment,1.2782669601761059
49,525,23.0,1,BHK,Apartment,1.1082983123207257
50,442,29.5,1,BHK,Apartment,1.0156093656193717
51,715,39.49,1,BHK,Apartment,1.0914326373601941
52,628,90.0,2,BHK,Apartment,2.4748182242678944
53,515,120.0,2,BHK,Apartment,3.6308651857781338
54,1300,254.0,4,BHK,Apartment,3.6308651857781338
55,740,38.48,1,BHK,Apartment,1.1215777085298801
56,445,34.14,1,BHK,Apartment,1.39896883113687
57,410,89.0,1,BHK,Apartment,3.414803784231323
58,321,19.89,1,BHK,Apartment,0.7707791341471549
59,644,204.0,2,BHK,Apartment,3.9654561967950004
60,670,150.0,2,BHK,Apartment,6.74420594385617
61,650,57.99,2,BHK,Apartment,1.484157160963245
62,1239,476.0,3,BHK,Apartment,8.437249849909946
63,542,115.99999999999999,2,BHK,Apartment,3.414803784231323
64,585,42.5,2,BHK,Apartment,1.2583704068595
65,343,23.5,1,BHK,Apartment,1.0116676066245807
66,567,145.0,2,BHK,Apartment,4.55273163898339
67,520,36.0,2,BHK,Apartment,0.7192336235074379
68,522,134.0,2,BHK,Apartment,5.739456745942991
69,917,284.0,3,BHK,Apartment,5.739456745942991
70,476,104.0,1,BHK,Apartment,3.8842194205412137
71,999,209.0,3,BHK,Apartment,4.063829602109092
72,320,28.25,1,BHK,Apartment,1.0116676066245807
73,329,19.0,1,BHK,Apartment,0.7707791341471549
74,739,295.0,2,BHK,Apartment,9.362284037088921
75,917,95.0,3,BHK,Apartment,1.7708119425031927
76,592,134.0,2,BHK,Apartment,6.74420594385617
77,489,13.19,2,BHK,Apartment,0.7283536788739912
78,435,100.0,1,BHK,Apartment,6.74420594385617
79,540,114.99999999999999,2,BHK,Apartment,3.8842194205412137
81,598,39.5,2,BHK,Apartment,1.0156093656193717
82,699,37.19,1,BHK,Apartment,1.0914326373601941
83,465,23.99,1,RK,StudioApartment,1.0914326373601941
84,713,37.99,1,BHK,Apartment,1.0914326373601941
85,515,75.0,1,BHK,Apartment,2.4748182242678944
86,679,124.0,2,BHK,Apartment,3.6308651857781338
87,887,187.0,3,BHK,Apartment,3.6308651857781338
88,1045,54.34,2,BHK,Apartment,1.1215777085298801
89,690,35.88,1,BHK,Apartment,1.1215777085298801
90,1085,56.42,2,BHK,Apartment,1.1215777085298801
91,1060,55.12,2,BHK,Apartment,1.1215777085298801
92,795,41.34,1,BHK,Apartment,1.1215777085298801
93,692,53.0,2,BHK,Apartment,1.39896883113687
94,487,36.99,1,BHK,Apartment,1.39896883113687
95,440,95.51,1,BHK,Apartment,3.414803784231323
96,650,145.0,2,BHK,Apartment,3.414803784231323
97,644,154.0,2,BHK,Apartment,3.6308651857781338
98,936,51.49,2,BHK,Apartment,1.0914326373601941
99,445,22.99,1,RK,StudioApartment,1.0914326373601941
100,408,25.29,1,BHK,Apartment,0.7707791341471549
101,398,130.0,1,BHK,Apartment,3.9654561967950004
102,632,200.0,2,BHK,Apartment,3.9654561967950004
103,625,140.0,2,BHK,Apartment,6.74420594385617
104,580,130.0,2,BHK,Apartment,6.74420594385617
105,710,159.0,2,BHK,Apartment,6.74420594385617
106,618,139.0,2,BHK,Apartment,6.74420594385617
107,770,296.0,2,BHK,Apartment,8.437249849909946
108,1232,473.00000000000006,3,BHK,Apartment,8.437249849909946
109,767,294.0,2,BHK,Apartment,8.437249849909946
110,374,80.41,1,BHK,Apartment,3.414803784231323
111,425,91.37,1,BHK,Apartment,3.414803784231323
112,416,89.44,1,BHK,Apartment,3.414803784231323
113,438,94.17,1,BHK,Apartment,3.414803784231323
114,302,21.3,1,BHK,Apartment,1.0116676066245807
115,514,34.0,2,BHK,Apartment,1.0116676066245807
116,455,29.5,2,BHK,Apartment,1.0116676066245807
117,651,42.0,2,BHK,Apartment,1.0116676066245807
118,568,40.25,2,BHK,Apartment,1.0116676066245807
119,421,26.5,1,BHK,Apartment,1.0116676066245807
120,368,25.0,1,BHK,Apartment,0.7192336235074379
121,485,32.35,2,BHK,Apartment,0.7192336235074379
122,834,214.0,2,BHK,Apartment,5.739456745942991
123,841,216.0,2,BHK,Apartment,5.739456745942991
124,825,211.0,2,BHK,Apartment,5.739456745942991
125,775,183.0,2,BHK,Apartment,5.739456745942991
126,528,135.0,2,BHK,Apartment,5.739456745942991
127,511,131.0,2,BHK,Apartment,5.739456745942991
128,739,175.0,2,BHK,Apartment,5.739456745942991
129,507,130.0,2,BHK,Apartment,5.739456745942991
130,506,130.0,2,BHK,Apartment,5.739456745942991
131,684,212.0,2,BHK,Apartment,5.739456745942991
132,617,191.0,2,BHK,Apartment,5.739456745942991
133,447,97.99,1,BHK,Apartment,3.8842194205412137
134,1150,241.0,3,BHK,Apartment,4.063829602109092
135,501,105.0,1,BHK,Apartment,4.063829602109092
136,623,130.0,2,BHK,Apartment,4.063829602109092
137,631,132.0,2,BHK,Apartment,4.063829602109092
138,744,156.0,2,BHK,Apartment,4.063829602109092
139,868,129.0,3,BHK,Apartment,2.2568874658128215
140,687,107.0,2,BHK,Apartment,2.2568874658128215
141,636,100.0,2,BHK,Apartment,2.2568874658128215
142,691,108.0,2,BHK,Apartment,2.2568874658128215
143,674,106.0,2,BHK,Apartment,2.2568874658128215
144,680,106.0,2,BHK,Apartment,2.2568874658128215
145,631,99.5,2,BHK,Apartment,2.2568874658128215
146,862,120.0,3,BHK,Apartment,2.2568874658128215
147,682,106.0,2,BHK,Apartment,2.2568874658128215
148,616,97.0,2,BHK,Apartment,2.2568874658128215
149,368,21.23,1,BHK,Apartment,0.7707791341471549
150,735,195.0,2,BHK,Apartment,5.739456745942991
151,990,45.45,2,BHK,Apartment,1.2583704068595
152,695,31.8,1,BHK,Apartment,1.2583704068595
153,576,60.0,2,BHK,Apartment,1.7708119425031927
154,576,60.0,2,BHK,Apartment,1.7708119425031927
155,433,45.0,1,BHK,Apartment,1.7708119425031927
156,433,45.0,1,BHK,Apartment,1.7708119425031927
157,694,71.0,2,BHK,Apartment,1.7708119425031927
158,694,71.0,2,BHK,Apartment,1.7708119425031927
159,1835,220.00000000000003,3,BHK,Apartment,4.558281067931539
160,1835,220.00000000000003,3,BHK,Apartment,4.558281067931539
161,1835,220.00000000000003,3,BHK,Apartment,4.558281067931539
162,1835,220.00000000000003,3,BHK,Apartment,4.558281067931539
163,1245,149.0,2,BHK,Apartment,4.558281067931539
164,1245,149.0,2,BHK,Apartment,4.558281067931539
165,1745,208.0,3,BHK,Apartment,4.558281067931539
166,1745,208.0,3,BHK,Apartment,4.558281067931539
167,1335,168.0,2,BHK,Apartment,4.558281067931539
168,1335,168.0,2,BHK,Apartment,4.558281067931539
169,542,49.9,2,BHK,Apartment,1.0116676066245807
170,424,119.0,1,BHK,Apartment,4.68917582433518
171,451,41.24,2,BHK,Apartment,1.0116676066245807
