,Location,Total sqft,price,area_type,availability,bhk,type,housing_type
0,Chembur,984,305.0,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
1,Kurla,598,142.0,Plot  Area,Ready To Move,2,BHK,Apartment
2,Malad West,738,154.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
3,Rasayani,644,68.75,Super built-up  Area,Ready To Move,3,BHK,Apartment
4,Vikhroli,582,145.0,Plot  Area,Ready To Move,2,BHK,Apartment
5,Neral,427,24.58,Super built-up  Area,Ready To Move,2,BHK,Apartment
6,Mahim,1130,480.0,Plot  Area,Ready To Move,3,BHK,Apartment
7,Fort,671,272.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
8,Dombivali,917,95.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
9,Palghar,701,27.3,Super built-up  Area,Ready To Move,1,BHK,IndependentHouse
10,Malad East,387,88.23,Super built-up  Area,Ready To Move,1,BHK,Apartment
11,Vangani,417,10.75,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
12,Jogeshwari West,333,74.99,Plot  Area,Ready To Move,1,BHK,Apartment
13,Malad East,638,143.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
14,Kurla,425,91.55,Super built-up  Area,Ready To Move,1,BHK,Apartment
15,Dahisar,623,135.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
16,Borivali East,501,112.00000000000001,Super built-up  Area,Ready To Move,2,BHK,Apartment
17,Mulund West,771,221.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
18,Kharghar,938,143.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
19,Vasai,287,21.41,Super built-up  Area,Ready To Move,1,BHK,Apartment
20,Kharghar,2215,252.99999999999997,Super built-up  Area,Ready To Move,3,BHK,Apartment
21,Santacruz East,778,324.0,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
22,Ambernath East,821,44.26,Super built-up  Area,Ready To Move,3,BHK,Apartment
