,Total sqft,price,bhk,location_weight,housing_type_IndependentFloor,housing_type_IndependentHouse,housing_type_StudioApartment,housing_type_Villa,type_RK
0,984,305.0,3,5.739456745942991,0,0,0,0,0
1,598,142.0,2,3.8842194205412137,0,0,0,0,0
2,738,154.0,2,4.063829602109092,0,0,0,0,0
3,644,68.75,3,1.0116676066245807,0,0,0,0,0
4,582,145.0,2,3.359460120516756,0,0,0,0,0
5,427,24.58,2,0.7707791341471549,0,0,0,0,0
6,1130,480.0,3,8.211593622840372,0,0,0,0,0
7,671,272.0,2,9.362284037088921,0,0,0,0,0
8,917,95.0,3,1.7708119425031927,0,0,0,0,0
9,701,27.3,1,0.7338569808551799,0,1,0,0,0
10,387,88.23,1,6.74420594385617,0,0,0,0,0
11,417,10.75,1,0.7283536788739912,0,0,0,0,0
12,333,74.99,1,7.544479068393417,0,0,0,0,0
13,638,143.0,2,6.74420594385617,0,0,0,0,0
14,425,91.55,1,3.8842194205412137,0,0,0,0,0
15,623,135.0,2,3.414803784231323,0,0,0,0,0
16,501,112.00000000000001,2,4.55273163898339,0,0,0,0,0
17,771,221.0,2,5.993596157694617,0,0,0,0,0
18,938,143.0,3,4.558281067931539,0,0,0,0,0
19,287,21.41,1,0.9630876565154779,0,0,0,0,0
20,2215,252.99999999999997,3,4.558281067931539,0,0,0,0,0
21,778,324.0,3,8.690312226551617,0,0,0,0,0
22,821,44.26,3,0.99373349499896,0,0,0,0,0
23,565,18.6,1,0.7338569808551799,0,0,0,0,0
24,395,17.01,1,0.7283536788739912,0,0,0,0,0
25,590,17.7,1,0.7338569808551799,0,0,0,0,0
26,230,59.46,1,1.1215718554613257,0,0,0,0,0
27,425,156.0,1,13.51477553198586,0,0,0,0,0
28,396,65.33,1,3.414803784231323,0,0,0,0,0
29,755,32.5,2,0.6359944999257618,0,0,0,0,0
30,428,33.49,2,0.8182687390211906,0,0,0,0,0
31,485,140.0,1,17.291551401429096,0,0,0,0,0
32,261,45.5,1,2.2568874658128215,0,0,0,0,0
33,477,38.49,1,1.5422987125608703,0,0,0,0,0
34,655,191.0,2,4.68917582433518,0,0,0,0,0
35,428,35.5,1,1.484157160963245,0,0,0,0,0
36,950,23.75,2,0.5041914037311276,0,0,0,0,0
37,527,45.3,1,1.39896883113687,0,0,0,0,0
38,500,44.0,1,3.1668167567206993,0,0,0,0,0
39,409,30.15,1,3.6308651857781338,0,0,0,0,0
40,653,38.49,2,1.1921152691614971,0,0,0,0,0
41,320,69.9,1,5.739456745942991,0,0,0,0,0
42,928,61.0,3,1.2583704068595,0,0,0,0,0
43,410,38.0,1,1.7708119425031927,0,0,0,0,0
44,469,90.0,1,4.063829602109092,0,0,0,0,0
45,575,27.5,1,0.9630876565154779,0,0,0,0,0
46,263,18.49,1,2.2568874658128215,0,0,1,0,1
47,427,25.31,1,0.6359944999257618,0,0,0,0,0
48,590,45.0,1,1.2782669601761059,0,0,0,0,0
49,525,23.0,1,1.1082983123207257,0,0,0,0,0
50,442,29.5,1,1.0156093656193717,0,0,0,0,0
51,715,39.49,1,1.0914326373601941,0,0,0,0,0
52,628,90.0,2,2.4748182242678944,0,0,0,0,0
53,515,120.0,2,3.6308651857781338,0,0,0,0,0
54,1300,254.0,4,3.6308651857781338,0,0,0,0,0
55,740,38.48,1,1.1215777085298801,0,0,0,0,0
56,445,34.14,1,1.39896883113687,0,0,0,0,0
57,410,89.0,1,3.414803784231323,0,0,0,0,0
58,321,19.89,1,0.7707791341471549,0,0,0,0,0
59,644,204.0,2,3.9654561967950004,0,0,0,0,0
60,670,150.0,2,6.74420594385617,0,0,0,0,0
61,650,57.99,2,1.484157160963245,0,0,0,0,0
62,1239,476.0,3,8.437249849909946,0,0,0,0,0
63,542,115.99999999999999,2,3.414803784231323,0,0,0,0,0
64,585,42.5,2,1.2583704068595,0,0,0,0,0
65,343,23.5,1,1.0116676066245807,0,0,0,0,0
66,567,145.0,2,4.55273163898339,0,0,0,0,0
67,520,36.0,2,0.7192336235074379,0,0,0,0,0
68,522,134.0,2,5.739456745942991,0,0,0,0,0
69,917,284.0,3,5.739456745942991,0,0,0,0,0
70,476,104.0,1,3.8842194205412137,0,0,0,0,0
71,999,209.0,3,4.063829602109092,0,0,0,0,0
72,320,28.25,1,1.0116676066245807,0,0,0,0,0
73,329,19.0,1,0.7707791341471549,0,0,0,0,0
74,739,295.0,2,9.362284037088921,0,0,0,0,0
75,917,95.0,3,1.7708119425031927,0,0,0,0,0
76,592,134.0,2,6.74420594385617,0,0,0,0,0
77,489,13.19,2,0.7283536788739912,0,0,0,0,0
78,435,100.0,1,6.74420594385617,0,0,0,0,0
79,540,114.99999999999999,2,3.8842194205412137,0,0,0,0,0
81,598,39.5,2,1.0156093656193717,0,0,0,0,0
82,699,37.19,1,1.0914326373601941,0,0,0,0,0
83,465,23.99,1,1.0914326373601941,0,0,1,0,1
84,713,37.99,1,1.0914326373601941,0,0,0,0,0
85,515,75.0,1,2.4748182242678944,0,0,0,0,0
86,679,124.0,2,3.6308651857781338,0,0,0,0,0
87,887,187.0,3,3.6308651857781338,0,0,0,0,0
88,1045,54.34,2,1.1215777085298801,0,0,0,0,0
89,690,35.88,1,1.1215777085298801,0,0,0,0,0
90,1085,56.42,2,1.1215777085298801,0,0,0,0,0
91,1060,55.12,2,1.1215777085298801,0,0,0,0,0
92,795,41.34,1,1.1215777085298801,0,0,0,0,0
93,692,53.0,2,1.39896883113687,0,0,0,0,0
94,487,36.99,1,1.39896883113687,0,0,0,0,0
95,440,95.51,1,3.414803784231323,0,0,0,0,0
96,650,145.0,2,3.414803784231323,0,0,0,0,0
97,644,154.0,2,3.6308651857781338,0,0,0,0,0
98,936,51.49,2,1.0914326373601941,0,0,0,0,0
99,445,22.99,1,1.0914326373601941,0,0,1,0,1
100,408,25.29,1,0.7707791341471549,0,0,0,0,0
101,398,130.0,1,3.9654561967950004,0,0,0,0,0
102,632,200.0,2,3.9654561967950004,0,0,0,0,0
103,625,140.0,2,6.74420594385617,0,0,0,0,0
104,580,130.0,2,6.74420594385617,0,0,0,0,0
105,710,159.0,2,6.74420594385617,0,0,0,0,0
106,618,139.0,2,6.74420594385617,0,0,0,0,0
107,770,296.0,2,8.437249849909946,0,0,0,0,0
108,1232,473.00000000000006,3,8.437249849909946,0,0,0,0,0
109,767,294.0,2,8.437249849909946,0,0,0,0,0
110,374,80.41,1,3.414803784231323,0,0,0,0,0
111,425,91.37,1,3.414803784231323,0,0,0,0,0
112,416,89.44,1,3.414803784231323,0,0,0,0,0
113,438,94.17,1,3.414803784231323,0,0,0,0,0
114,302,21.3,1,1.0116676066245807,0,0,0,0,0
115,514,34.0,2,1.0116676066245807,0,0,0,0,0
116,455,29.5,2,1.0116676066245807,0,0,0,0,0
117,651,42.0,2,1.0116676066245807,0,0,0,0,0
118,568,40.25,2,1.0116676066245807,0,0,0,0,0
119,421,26.5,1,1.0116676066245807,0,0,0,0,0
120,368,25.0,1,0.7192336235074379,0,0,0,0,0
121,485,32.35,2,0.7192336235074379,0,0,0,0,0
122,834,214.0,2,5.739456745942991,0,0,0,0,0
123,841,216.0,2,5.739456745942991,0,0,0,0,0
124,825,211.0,2,5.739456745942991,0,0,0,0,0
125,775,183.0,2,5.739456745942991,0,0,0,0,0
126,528,135.0,2,5.739456745942991,0,0,0,0,0
127,511,131.0,2,5.739456745942991,0,0,0,0,0
128,739,175.0,2,5.739456745942991,0,0,0,0,0
129,507,130.0,2,5.739456745942991,0,0,0,0,0
130,506,130.0,2,5.739456745942991,0,0,0,0,0
131,684,212.0,2,5.739456745942991,0,0,0,0,0
132,617,191.0,2,5.739456745942991,0,0,0,0,0
133,447,97.99,1,3.8842194205412137,0,0,0,0,0
134,1150,241.0,3,4.063829602109092,0,0,0,0,0
135,501,105.0,1,4.063829602109092,0,0,0,0,0
136,623,130.0,2,4.063829602109092,0,0,0,0,0
137,631,132.0,2,4.063829602109092,0,0,0,0,0
138,744,156.0,2,4.063829602109092,0,0,0,0,0
139,868,129.0,3,2.2568874658128215,0,0,0,0,0
140,687,107.0,2,2.2568874658128215,0,0,0,0,0
141,636,100.0,2,2.2568874658128215,0,0,0,0,0
142,691,108.0,2,2.2568874658128215,0,0,0,0,0
143,674,106.0,2,2.2568874658128215,0,0,0,0,0
144,680,106.0,2,2.2568874658128215,0,0,0,0,0
145,631,99.5,2,2.2568874658128215,0,0,0,0,0
146,862,120.0,3,2.2568874658128215,0,0,0,0,0
147,682,106.0,2,2.2568874658128215,0,0,0,0,0
148,616,97.0,2,2.2568874658128215,0,0,0,0,0
149,368,21.23,1,0.7707791341471549,0,0,0,0,0
150,735,195.0,2,5.739456745942991,0,0,0,0,0
151,990,45.45,2,1.2583704068595,0,0,0,0,0
152,695,31.8,1,1.2583704068595,0,0,0,0,0
153,576,60.0,2,1.7708119425031927,0,0,0,0,0
154,576,60.0,2,1.7708119425031927,0,0,0,0,0
155,433,45.0,1,1.7708119425031927,0,0,0,0,0
156,433,45.0,1,1.7708119425031927,0,0,0,0,0
157,694,71.0,2,1.7708119425031927,0,0,0,0,0
158,694,71.0,2,1.7708119425031927,0,0,0,0,0
159,1835,220.00000000000003,3,4.558281067931539,0,0,0,0,0
160,1835,220.00000000000003,3,4.558281067931539,0,0,0,0,0
161,1835,220.00000000000003,3,4.558281067931539,0,0,0,0,0
162,1835,220.00000000000003,3,4.558281067931539,0,0,0,0,0
163,1245,149.0,2,4.558281067931539,0,0,0,0,0
164,1245,149.0,2,4.558281067931539,0,0,0,0,0
165,1745,208.0,3,4.558281067931539,0,0,0,0,0
166,1745,208.0,3,4.558281067931539,0,0,0,0,0
167,1335,168.0,2,4.558281067931539,0,0,0,0,0
168,1335,168.0,2,4.558281067931539,0,0,0,0,0
169,542,49.9,2,1.0116676066245807,0,0,0,0,0
170,424,119.0,1,4.68917582433518,0,0,0,0,0
171,451,41.24,2,1.0116676066245807,0,0,0,0,0
172,330,30.71,1,1.0116676066245807,0,0,0,0,0
173,326,30.93,1,1.0116676066245807,0,0,0,0,0
174,513,43.83,2,1.0116676066245807,0,0,0,0,0
175,613,139.0,2,6.74420594385617,0,0,0,0,0
176,405,92.34,1,6.74420594385617,0,0,0,0,0
177,241,6.5,1,0.7283536788739912,0,0,1,0,1
178,770,29.64,2,0.7192336235074379,0,0,0,0,0
179,790,30.41,2,0.7192336235074379,0,0,0,0,0
180,540,20.79,1,0.7192336235074379,0,0,0,0,0
181,605,23.29,1,0.7192336235074379,0,0,0,0,0
182,430,16.55,1,0.7192336235074379,0,0,0,0,0
183,646,146.0,2,6.74420594385617,0,0,0,0,0
184,323,69.9,1,6.74420594385617,0,0,0,0,0
185,595,127.0,2,3.8842194205412137,0,0,0,0,0
186,418,90.08,1,3.8842194205412137,0,0,0,0,0
187,584,124.0,2,3.8842194205412137,0,0,0,0,0
188,444,88.54,1,3.359460120516756,0,0,0,0,0
189,390,78.05,1,3.359460120516756,0,0,0,0,0
190,408,81.55,1,3.359460120516756,0,0,0,0,0
191,1093,227.0,3,3.414803784231323,0,0,0,0,0
192,701,149.0,2,3.414803784231323,0,0,0,0,0
193,437,97.0,1,4.55273163898339,0,0,0,0,0
194,619,145.0,2,4.55273163898339,0,0,0,0,0
195,434,96.0,1,4.55273163898339,0,0,0,0,0
196,385,88.0,1,4.55273163898339,0,0,0,0,0
197,477,120.0,1,4.55273163898339,0,0,0,0,0
198,584,145.0,1,4.55273163898339,0,0,0,0,0
199,712,170.0,2,4.55273163898339,0,0,0,0,0
200,871,229.99999999999997,2,4.55273163898339,0,0,0,0,0
201,502,16.56,1,0.7192336235074379,0,0,1,0,1
202,635,20.95,1,0.7192336235074379,0,0,0,0,0
203,535,17.65,1,0.7192336235074379,0,0,0,0,0
204,565,18.64,1,0.7192336235074379,0,0,0,0,0
205,380,13.68,1,0.7192336235074379,0,0,1,0,1
206,1292,377.0,3,5.993596157694617,0,0,0,0,0
207,758,225.0,2,5.993596157694617,0,0,0,0,0
208,345,19.91,1,0.7192336235074379,0,0,0,0,0
209,352,20.5,1,0.7192336235074379,0,0,0,0,0
210,294,16.0,1,0.7192336235074379,0,0,0,0,0
211,366,21.28,1,0.7192336235074379,0,0,0,0,0
